iter	Passed	Remaining
0	456	455808
1	652	325681
2	958	318558
3	1242	309299
4	1504	299491
5	1720	285080
6	2015	285969
7	2390	296383
8	2742	301985
9	3256	322420
10	3804	342019
11	4489	369661
12	4779	362872
13	5038	354867
14	5275	346422
15	5520	339490
16	5788	334704
17	6082	331837
18	6362	328489
19	6572	322057
20	6790	316562
21	7003	311327
22	7197	305745
23	7414	301505
24	7627	297481
25	7828	293268
26	8169	294399
27	8497	295001
28	8762	293400
29	8970	290056
30	9131	285440
31	9339	282510
32	9525	279128
33	9724	276300
34	9907	273161
35	10242	274276
36	10543	274409
37	10699	270871
38	10875	267987
39	11047	265136
40	11206	262122
41	11437	260893
42	11616	258534
43	11783	256017
44	11940	253397
45	12066	250254
46	12190	247177
47	12292	243798
48	12390	240467
49	12484	237205
50	12575	234009
51	12673	231041
52	12757	227956
53	12851	225131
54	12948	222484
55	13046	219928
56	13138	217364
57	13242	215069
58	13356	213022
59	13445	210642
60	13554	208650
61	13652	206544
62	13739	204352
63	13823	202163
64	13943	200577
65	14075	199195
66	14207	197848
67	14335	196486
68	14453	195020
69	14578	193683
70	14767	193226
71	14878	191771
72	14971	190116
73	15064	188514
74	15154	186905
75	15246	185362
76	15342	183916
77	15440	182515
78	15525	181005
79	15611	179534
80	15695	178080
81	15786	176734
82	15871	175354
83	15969	174138
84	16058	172868
85	16160	171747
86	16274	170787
87	16380	169757
88	16497	168865
89	16606	167909
90	16722	167038
91	16827	166083
92	16938	165192
93	17037	164215
94	17137	163252
95	17218	162137
96	17316	161206
97	17406	160207
98	17487	159154
99	17572	158151
100	17652	157125
101	17726	156063
102	17811	155112
103	17888	154115
104	17968	153159
105	18049	152229
106	18141	151404
107	18223	150516
108	18314	149705
109	18394	148830
110	18480	148008
111	18566	147202
112	18653	146423
113	18761	145811
114	18872	145235
115	18970	144569
116	19084	144033
117	19184	143397
118	19286	142785
119	19385	142158
120	19475	141481
121	19564	140803
122	19652	140125
123	19734	139414
124	19821	138752
125	19916	138149
126	20010	137555
127	20118	137054
128	20233	136616
129	20439	136786
130	20999	139300
131	21384	140621
132	21613	140890
133	21794	140848
134	22045	141251
135	22200	141040
136	22325	140637
137	22468	140348
138	22632	140189
139	22782	139950
140	23041	140374
141	23131	139764
142	23246	139313
143	23593	140247
144	24159	142455
145	24566	143698
146	24782	143808
147	25103	144515
148	25348	144777
149	25558	144829
150	25813	145138
151	26006	145087
152	26282	145500
153	26538	145787
154	26747	145819
155	26981	145977
156	27228	146198
157	27528	146703
158	27806	147074
159	28082	147430
160	28402	148010
161	28663	148272
162	28889	148345
163	29271	149212
164	29610	149844
165	30146	151459
166	30584	152557
167	30967	153364
168	31293	153875
169	31685	154697
170	32014	155205
171	32447	156201
172	32726	156444
173	33026	156782
174	33390	157412
175	33785	158176
176	34054	158341
177	34374	158741
178	34658	158966
179	34890	158943
180	35211	159325
181	35599	160000
182	35870	160142
183	36101	160100
184	36396	160343
185	36653	160409
186	36927	160544
187	37226	160785
188	37571	161220
189	37851	161367
190	38117	161450
191	38389	161556
192	38628	161517
193	38899	161611
194	39118	161491
195	39434	161761
196	39907	162670
197	40309	163273
198	40621	163506
199	40847	163389
200	41060	163220
201	41281	163080
202	41498	162929
203	41760	162946
204	42072	163157
205	42291	163008
206	42524	162909
207	42771	162861
208	43018	162812
209	43251	162708
210	43457	162502
211	43655	162267
212	43877	162119
213	44076	161890
214	44317	161811
215	44665	162119
216	45037	162507
217	45309	162532
218	45423	161990
219	45613	161720
220	45718	161150
221	45826	160600
222	45941	160075
223	46035	159480
224	46127	158882
225	46218	158287
226	46310	157700
227	46438	157239
228	46540	156694
229	46628	156105
230	46718	155524
231	46806	154944
232	46906	154408
233	47010	153887
234	47139	153455
235	47251	152966
236	47372	152510
237	47525	152162
238	47758	152067
239	47865	151573
240	47984	151121
241	48097	150652
242	48251	150313
243	48392	149938
244	48508	149486
245	48639	149081
246	48769	148678
247	49004	148595
248	49233	148490
249	49393	148180
250	49522	147777
251	49676	147451
252	49840	147158
253	49975	146779
254	50100	146371
255	50237	146003
256	50357	145584
257	50463	145131
258	50556	144643
259	50653	144166
260	50799	143834
261	50878	143313
262	50962	142810
263	51052	142326
264	51140	141841
265	51264	141459
266	51381	141057
267	51495	140652
268	51597	140215
269	51684	139740
270	51770	139265
271	51872	138836
272	52034	138568
273	52141	138155
274	52256	137766
275	52376	137392
276	52493	137014
277	52615	136649
278	52729	136265
279	52833	135857
280	52955	135497
281	53071	135125
282	53203	134794
283	53355	134516
284	53486	134185
285	53646	133928
286	53790	133634
287	53933	133336
288	54055	132988
289	54170	132623
290	54278	132244
291	54420	131952
292	54589	131723
293	54706	131369
294	54851	131084
295	55001	130815
296	55112	130451
297	55230	130107
298	55337	129736
299	55434	129347
300	55543	128987
301	55696	128729
302	55958	128722
303	56099	128438
304	56198	128058
305	56349	127799
306	56463	127456
307	56569	127097
308	56825	127076
309	57214	127348
310	57431	127235
311	57549	126903
312	57722	126695
313	57828	126338
314	57930	125976
315	58038	125626
316	58134	125254
317	58233	124891
318	58333	124529
319	58436	124176
320	58546	123841
321	58654	123502
322	58939	123535
323	59156	123425
324	59314	123191
325	59504	123025
326	59654	122774
327	59778	122472
328	59905	122177
329	60000	121819
330	60115	121501
331	60246	121218
332	60368	120917
333	60469	120577
334	60587	120270
335	60712	119979
336	60821	119658
337	60951	119378
338	61228	119386
339	61333	119059
340	61442	118740
341	61531	118384
342	61628	118047
343	61739	117736
344	61836	117399
345	61935	117069
346	62153	116962
347	62403	116917
348	62515	116612
349	62626	116306
350	62731	115990
351	62842	115686
352	62956	115390
353	63067	115090
354	63199	114827
355	63366	114629
356	63512	114393
357	63609	114070
358	63701	113739
359	63794	113412
360	63878	113070
361	63975	112752
362	64063	112420
363	64150	112086
364	64238	111757
365	64337	111448
366	64432	111132
367	64528	110819
368	64626	110512
369	64716	110193
370	64811	109882
371	64955	109655
372	65090	109414
373	65269	109247
374	65415	109025
375	65555	108794
376	65676	108531
377	65808	108287
378	66038	108204
379	66214	108033
380	66369	107829
381	66521	107619
382	66669	107401
383	66804	107166
384	66969	106976
385	67155	106821
386	67298	106599
387	67428	106356
388	67531	106070
389	67629	105780
390	67731	105494
391	67832	105209
392	67945	104943
393	68055	104673
394	68167	104408
395	68277	104139
396	68374	103852
397	68477	103575
398	68566	103279
399	68660	102990
400	68760	102711
401	68871	102450
402	68974	102178
403	69067	101892
404	69190	101650
405	69314	101411
406	69424	101152
407	69533	100892
408	69668	100670
409	69769	100400
410	69863	100121
411	69969	99859
412	70075	99599
413	70187	99347
414	70289	99082
415	70399	98829
416	70513	98584
417	70618	98325
418	70718	98060
419	70842	97829
420	70952	97581
421	71063	97333
422	71163	97071
423	71269	96818
424	71370	96559
425	71464	96292
426	71556	96022
427	71639	95742
428	71721	95461
429	71803	95181
430	71889	94906
431	71973	94631
432	72056	94355
433	72142	94084
434	72224	93808
435	72311	93540
436	72392	93265
437	72481	93001
438	72573	92742
439	72657	92472
440	72744	92208
441	72827	91940
442	72917	91682
443	73009	91426
444	73101	91171
445	73191	90915
446	73287	90666
447	73379	90413
448	73474	90165
449	73569	89917
450	73666	89673
451	73772	89441
452	73879	89210
453	73975	88966
454	74085	88740
455	74179	88495
456	74423	88428
457	74643	88333
458	74839	88209
459	74969	88007
460	75104	87812
461	75276	87659
462	75455	87514
463	75577	87305
464	75783	87191
